;Código do produto;Produto;Valor de compra sem impostos
473;2;yampa - software financeiro da 4blue;45.5
475;2;yampa - software financeiro da 4blue;45.5
476;2;yampa - software financeiro da 4blue;45.5
477;2;yampa - software financeiro da 4blue;45.5
478;3;Maratona de Finanças - Experiência VIP;15.7
479;2;yampa - software financeiro da 4blue;1.0
481;3;Maratona de Finanças - Experiência VIP;15.7
482;2;yampa - software financeiro da 4blue;45.5
485;2;yampa - software financeiro da 4blue;45.5
486;3;Maratona de Finanças - Experiência VIP;15.7
487;2;yampa - software financeiro da 4blue;45.5
488;3;Maratona de Finanças - Experiência VIP;15.7
489;2;yampa - software financeiro da 4blue;45.5
490;2;yampa - software financeiro da 4blue;45.5
491;2;yampa - software financeiro da 4blue;45.5
493;2;yampa - software financeiro da 4blue;45.5
496;2;yampa - software financeiro da 4blue;145.0
497;2;yampa - software financeiro da 4blue;450.0
498;1;Iluminismo Financeiro 2.1;4154.1
499;2;yampa - software financeiro da 4blue;1.0
500;3;Maratona de Finanças - Experiência VIP;15.7
503;3;Maratona de Finanças - Experiência VIP;15.7
508;2;yampa - software financeiro da 4blue;1.0
511;3;Maratona de Finanças - Experiência VIP;15.7
512;3;Maratona de Finanças - Experiência VIP;15.7
514;3;Maratona de Finanças - Experiência VIP;15.7
515;3;Maratona de Finanças - Experiência VIP;15.7
516;3;Maratona de Finanças - Experiência VIP;15.7
517;3;Maratona de Finanças - Experiência VIP;15.7
521;6;Ferramenta: Planilha de Controle Financeiro e Fluxo de Caixa 5.0;57.0
522;22;Ferramenta de Finanças Pessoais - Básico;15.5
523;2;yampa - software financeiro da 4blue;45.5
524;3;Maratona de Finanças - Experiência VIP;15.7
525;22;Ferramenta de Finanças Pessoais - Básico;15.5
526;2;yampa - software financeiro da 4blue;1.0
527;7;Finanças 4you -  Curso de Finanças Pessoais da 4blue;145.0
528;13;Curso de Precificação para Produtos e Serviços;357.0
529;2;yampa - software financeiro da 4blue;45.5
530;23;Curso de Separação das Finanças;157.0
533;7;Finanças 4you -  Curso de Finanças Pessoais da 4blue;145.0
534;13;Curso de Precificação para Produtos e Serviços;357.0
535;13;Curso de Precificação para Produtos e Serviços;147.0
